NEIGHBOURHOOD,YEAR,MONTH_avg,DAY_avg,HOUR_avg
Arbutus Ridge,2003,6.19774011299435,16.76271186440678,15.480225988700566
Arbutus Ridge,2004,7.004830917874396,15.81159420289855,15.570048309178745
Arbutus Ridge,2005,5.416309012875536,15.240343347639485,14.716738197424892
Arbutus Ridge,2006,5.7657657657657655,16.243243243243242,14.243243243243244
Arbutus Ridge,2007,5.772151898734177,15.670886075949367,14.037974683544304
Arbutus Ridge,2008,6.08955223880597,14.343283582089553,13.925373134328359
Arbutus Ridge,2009,5.578313253012048,16.03614457831325,14.867469879518072
Arbutus Ridge,2010,7.492957746478873,15.380281690140846,15.32394366197183
Arbutus Ridge,2011,7.723404255319149,14.148936170212766,15.0
Arbutus Ridge,2012,7.1461538461538465,15.7,15.053846153846154
Arbutus Ridge,2013,7.37,15.91,14.79
Arbutus Ridge,2014,6.492857142857143,14.435714285714285,14.07857142857143
Arbutus Ridge,2015,7.0234375,17.5859375,14.640625
Arbutus Ridge,2016,6.352564102564102,15.705128205128204,14.942307692307692
Arbutus Ridge,2017,6.390070921985815,14.808510638297872,16.04255319148936
Central Business District,2003,6.595019659239843,15.578168882231791,14.399176184235161
Central Business District,2004,6.358533272974197,15.709823449524672,14.259393390674513
Central Business District,2005,6.397035468501853,15.246426680783483,14.245367919534145
Central Business District,2006,6.77484092021537,15.311796377875673,14.337249143416544
Central Business District,2007,6.239917269906929,15.101344364012409,14.24095139607032
Central Business District,2008,6.571913338553903,15.419472722526756,14.13677890890107
Central Business District,2009,6.299365185432676,15.326762445706649,14.333110591379887
Central Business District,2010,6.6879570941004385,15.227206240858118,14.135056070209654
Central Business District,2011,6.2715902322811194,15.467540202501489,14.097677188802859
Central Business District,2012,6.0617426428159265,15.22735141373341,14.291402192729372
Central Business District,2013,6.9219261337073394,15.47124824684432,13.947639083683965
Central Business District,2014,6.904417364813405,15.485529322162986,14.08035034272658
Central Business District,2015,7.278881778376558,15.467834287638937,13.912765240821825
Central Business District,2016,6.224908759124087,15.51117700729927,13.89507299270073
Central Business District,2017,6.770050996754752,15.052387575336114,14.027816411682894
Dunbar-Southlands,2003,5.775590551181103,15.622047244094489,14.885826771653543
Dunbar-Southlands,2004,7.52744630071599,15.813842482100238,15.897374701670644
Dunbar-Southlands,2005,5.791044776119403,15.026119402985074,14.854477611940299
Dunbar-Southlands,2006,5.12987012987013,16.071428571428573,14.993506493506494
Dunbar-Southlands,2007,6.476923076923077,15.430769230769231,14.923076923076923
Dunbar-Southlands,2008,6.127906976744186,15.872093023255815,15.093023255813954
Dunbar-Southlands,2009,5.889763779527559,15.385826771653543,15.338582677165354
Dunbar-Southlands,2010,7.48,14.954285714285714,15.085714285714285
Dunbar-Southlands,2011,7.692913385826771,15.259842519685039,14.62992125984252
Dunbar-Southlands,2012,5.889344262295082,14.565573770491802,15.40983606557377
Dunbar-Southlands,2013,6.880794701986755,15.655629139072847,13.781456953642385
Dunbar-Southlands,2014,6.550898203592815,14.940119760479043,14.395209580838323
Dunbar-Southlands,2015,7.1045454545454545,16.213636363636365,14.436363636363636
Dunbar-Southlands,2016,5.930851063829787,16.638297872340427,13.909574468085106
Dunbar-Southlands,2017,7.419161676646707,16.317365269461078,15.538922155688622
Fairview,2003,6.655873493975903,15.189006024096386,14.870481927710843
Fairview,2004,7.0864864864864865,15.463320463320464,15.026254826254826
Fairview,2005,5.9037037037037035,15.186666666666667,14.701481481481482
Fairview,2006,6.136158701532913,15.683498647430117,15.006311992786294
Fairview,2007,6.123976608187134,15.097076023391812,14.483040935672514
Fairview,2008,6.430012610340479,15.461538461538462,14.71500630517024
Fairview,2009,6.536828963795256,15.069912609238452,15.00749063670412
Fairview,2010,6.413109756097561,15.690548780487806,14.227134146341463
Fairview,2011,6.192913385826771,14.460629921259843,14.4251968503937
Fairview,2012,6.512773722627737,15.622262773722628,14.921532846715328
Fairview,2013,7.509316770186335,15.233954451345756,14.020703933747413
Fairview,2014,7.0142487046632125,15.33419689119171,14.312176165803109
Fairview,2015,6.730050933786078,15.869269949066213,14.258064516129032
Fairview,2016,5.993421052631579,14.8125,14.230263157894736
Fairview,2017,7.087114337568058,15.292196007259529,14.176043557168784
Grandview-Woodland,2003,6.51140456182473,15.183673469387756,14.264105642256903
Grandview-Woodland,2004,6.5365239294710324,15.188916876574307,14.599496221662468
Grandview-Woodland,2005,6.549050632911392,14.583860759493671,14.140822784810126
Grandview-Woodland,2006,6.5,15.449612403100776,14.401162790697674
Grandview-Woodland,2007,6.278169014084507,15.455985915492958,14.89612676056338
Grandview-Woodland,2008,6.353383458646617,15.528822055137844,14.253132832080201
Grandview-Woodland,2009,7.302139037433155,15.756684491978609,14.732620320855615
Grandview-Woodland,2010,7.575268817204301,15.844086021505376,14.830645161290322
Grandview-Woodland,2011,6.222222222222222,14.571895424836601,14.57843137254902
Grandview-Woodland,2012,6.530249110320285,14.288256227758007,14.135231316725978
Grandview-Woodland,2013,6.578817733990148,15.027093596059114,14.322660098522167
Grandview-Woodland,2014,7.035476718403547,16.303769401330378,13.92461197339246
Grandview-Woodland,2015,6.692759295499021,14.900195694716242,14.299412915851272
Grandview-Woodland,2016,6.70873786407767,15.074433656957929,14.097087378640778
Grandview-Woodland,2017,7.251515151515152,15.545454545454545,14.101515151515152
Hastings-Sunrise,2003,6.843564356435643,15.342574257425742,14.594059405940595
Hastings-Sunrise,2004,6.921926910299003,15.008305647840531,15.049833887043189
Hastings-Sunrise,2005,6.574898785425101,15.0,14.398785425101215
