NEIGHBOURHOOD,YEAR,MONTH_avg,DAY_avg,HOUR_avg
Arbutus Ridge,2017,6.390070921985815,14.808510638297872,16.04255319148936
Central Business District,2017,6.770050996754752,15.052387575336114,14.027816411682894
Dunbar-Southlands,2017,7.419161676646707,16.317365269461078,15.538922155688622
Fairview,2017,7.087114337568058,15.292196007259529,14.176043557168784
Grandview-Woodland,2017,7.251515151515152,15.545454545454545,14.101515151515152
Hastings-Sunrise,2017,6.933333333333334,15.144086021505377,14.888172043010753
Kensington-Cedar Cottage,2017,7.1098901098901095,15.127472527472527,15.116483516483516
Kerrisdale,2017,7.433566433566433,16.09090909090909,15.664335664335665
Killarney,2017,7.285714285714286,16.649350649350648,15.25108225108225
Kitsilano,2017,6.875207986688852,14.95008319467554,15.246256239600665
Marpole,2017,7.648464163822526,15.303754266211604,13.976109215017065
Mount Pleasant,2017,7.269028871391076,15.417322834645669,14.401574803149606
Musqueam,2017,9.666666666666666,11.333333333333334,15.5
Oakridge,2017,6.340425531914893,16.76595744680851,15.27659574468085
Renfrew-Collingwood,2017,7.522486772486772,15.691798941798941,14.695767195767196
Riley Park,2017,7.131736526946108,15.0,15.047904191616766
Shaughnessy,2017,6.9245283018867925,15.018867924528301,12.89308176100629
South Cambie,2017,6.953125,14.1640625,15.6015625
Stanley Park,2017,6.583333333333333,16.364583333333332,14.34375
Strathcona,2017,7.440828402366864,14.970414201183432,13.643491124260356
Sunset,2017,7.430463576158941,15.718543046357615,14.466887417218542
Victoria-Fraserview,2017,7.078189300411522,15.419753086419753,14.065843621399177
West End,2017,6.938488576449912,14.576449912126538,14.584358523725834
West Point Grey,2017,6.7218045112781954,15.18796992481203,14.12781954887218
